1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Middle English form of Anglo-Saxon Eádgár, meaning "rich spear." | male. EDGAR
1: Middle English form of Anglo-Saxon Eadhun, meaning "rich Hun." | male. EDUN
1: Middle English form of Anglo-Saxon Eadmund, meaning "protector of prosperity." | male. EDMUND
1: Middle English form of Anglo-Saxon Eadric, meaning "rich ruler." | male. EDRIC
1: Middle English form of Anglo-Saxon Eadweard, meaning "guardian of prosperity." | male. EDWARD
1: Middle English form of Anglo-Saxon Eadwine, meaning "rich friend." | male. EDWIN
1: Middle English form of Anglo-Saxon Ealdred, meaning "old advisor." | male. ELDRED
1: Middle English form of Anglo-Saxon Ealdred, meaning "old counsel." | male. ALDRED
1: Middle English form of Anglo-Saxon Ealdwine, meaning "old friend." | male. ALDINE
1: Middle English form of Anglo-Saxon Ealdwine, meaning "old friend." | male. ALDWIN
1: Middle English form of Anglo-Saxon Eastmund, meaning "gracious protector." | male. ESTMUND
1: Middle English form of Anglo-Saxon Ecgbryht, meaning "bright edge." | male. EGBERT
1: Middle English form of Anglo-Saxon Eoforhild, meaning "boar-battle." | female. EVERILD
1: Middle English form of Anglo-Saxon Eoforwine, meaning "boar friend." | male. IRWIN
1: Middle English form of Anglo-Saxon Glædwine, meaning "bright friend." | male. GLADWYN
1: Middle English form of Anglo-Saxon Godheard, meaning "god-strong." Compare with another form of Goddard. | male. GODDARD
1: Middle English form of Anglo-Saxon Gyða, meaning "strife, war." | female. GYTHA
1: Middle English form of Anglo-Saxon Hereweald, meaning "army ruler." | male. HAROLD
1: Middle English form of Anglo-Saxon Mildryth, meaning "gentle strength." | female. MILDREDD
1: Middle English form of Anglo-Saxon Mildryth, meaning "gentle strength." | female. MILDRETH
1: Middle English form of Anglo-Saxon Osbeorht, meaning "god-bright." | male. OSBERT
1: Middle English form of Anglo-Saxon Osbeorn, meaning "divine-bear." | male. OSBORN
1: Middle English form of Anglo-Saxon Osgar, meaning "god-spear." Compare with another form of Oscar. | male. OSCAR
1: Middle English form of Anglo-Saxon Osweald, meaning "divine power" or "divine ruler." | male. OSWALD
1: Middle English form of Anglo-Saxon Randwulf, meaning "shield-wolf." | male. RANDULF
1: Middle English form of Anglo-Saxon Sigebeald, meaning "bold victory." | male. SYBALD
1: Middle English form of Anglo-Saxon Siweard, meaning "sea-guard." | male. SIWARD
1: Middle English form of Anglo-Saxon Wigmund, meaning "fight-protection." | male. WYMUND
1: Middle English form of Anglo-Saxon Wilfrið, meaning "desires peace." | male. WILFRID
1: Middle English form of Anglo-Saxon Winfrið, meaning "friend of peace." | male. WINFRID
1: Middle English form of Anglo-Saxon Wulfric, meaning "wolf power." | male. ULRIC
1: Middle English form of English Agnes, meaning "chaste; holy." | female. ANNICE
1: Middle English form of English John, meaning "God is gracious." Compare with other forms of Jan. | male. JAN
1: Middle English form of French Lunete, meaning "idol, image." | female. LUNET
1: Middle English form of French Marie (Greek & Latin Maria), meaning "obstinacy, rebelliousness" or "their rebellion." In the bible, this is the name of many characters, including the mother of Jesus and a sister of Lazarus. | female. MARY
1: Middle English form of French Moisé, meaning "drawn out." | male. MOISE
1: Middle English form of French Pierres, meaning "rock, stone." | male. PIERS
1: Middle English form of French Yvain, meaning "well born." In Arthurian legend, this is the name of a Knight of the Round Table, a son of King Urien. He is said by some to be the son of Morgan le Fay, making him Arthur's nephew. He has a half-brother named after him, and a twin sister named Morvydd. In Welsh legend, his name was Owain, which has a different meaning. | male. YWAIN
1: Middle English form of Latin Alvredus, meaning "elf counsel." | male. ALVRED
1: Middle English form of Latin Lætitia, meaning "happiness." | female. LETTICE
1: Middle English form of Latin Nigellus, meaning "champion." | male. NIGEL
1: Middle English form of Low German Lammert, meaning "land-bright." | male. LAMBERT
1: Middle English form of Norman French Gervaise, meaning "spear servant." | male. GERVASE
1: Middle English form of Norman French Josce, meaning "lord." | male. JOSSE
1: Middle English form of Norman French Mathilde, meaning "mighty in battle." | female. MAULD
1: Middle English form of Old French Hamelet, meaning "tiny little village." | male. HAMLET
1: Middle English masculine form of Anglo-Saxon Eoforhild, meaning "boar battle." | male. AVEREL
1: Middle English name derived from Anglo-Saxon Ædhelweard, meaning "noble guard." | male. DHELWEARD
1: Middle English name meaning "a heath near a cliff." | male. HEATHCLIFF
1: Middle English name meaning "brave, daring." Compare with another form of Dara. | female. DARA
1: Middle English name meaning "dear, darling." | female. DARLA
1: Middle English name meaning "feather, quill." | female. QUILLA
1: Middle English name meaning "kitten." Compare with other forms of Chita. | female. CHITA
1: Middle English name meaning "to cut, to chop." Compare with another form of Haig. | male. HAIG
1: Middle English name meaning "to fill (a container)." Compare with other forms of Ulla. | female. ULLA
1: Middle English name of uncertain origin, but commonly associated with Latin Milo, meaning "soldier." Compare with another form of Mile. | male. MILE
1: Middle English name, possibly originally a byname meaning "fat man," from the Germanic root kupp, meaning "to swell." | male. KIPP
1: Middle English name probably derived from Welsh Gwalchgwyn "white hawk" or Gwalchmei "May hawk." In Arthurian legend, this is the name of a Knight of the Round Table. He was the eldest son of Morgause and King Lot of Orkney, cousin to Sir Ywain, and nephew to Arthur. He was brother to Agravain, Gaheris, Gareth, and Mordred, the father of Florence, Gingalain, and Lovell. He is noted for his fierce loyalty to his king, for being a defender of the poor, and for being a ladies' man. He is also called Gwalltafwyn, meaning "hair like rain." | male. GAWAIN
1: Middle English pet form of Anglo-Saxon Hroðgar, meaning "famous spear." | male. HODGE
1: Middle English pet form of Hebrew Adam, meaning "earth" or "red." | male. EADE
1: Middle English short form of English Lawrence, meaning "of Laurentum." | male. LAW
1: Middle English surname (of Norman French origin) transferred to forename use, meaning "hunter." | male. CHASE
1: Middle English variant form of English Jack "God is gracious." Short form of English Jacob, meaning "supplanter." | male. JAKE
1: Middle French form of Old French Loois, meaning "famous warrior." | male. LOUIS
1: Modern English blend of Hebrew Leah "weary" and Italian Beatrice "voyager (through life)," hence "weary voyager." | female. LEATRICE
1: Modern English blend of Kimberly "King's City Meadow" and Lynn "lake." | female. KIMBERLYN
1: Modern English blend of Marsha "defense" or "of the sea" and Anne "favor; grace." | female. MARSHAN
1: Modern English compound name composed of Flo "blossoming/flower" and Ella "foreign; the other." | female. FLOELLA
1: Modern English compound name composed of Mal- ("dark, black") from Malinda, and Sandra "defender of mankind." | female. MALANDRA
1: Modern English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion," and Lyn "lake," hence "rebel-lake." | female. MARILYN
1: Modern English compound name composed of Mel- (from Melissa ("sweet") or Melanie "black, dark") and Linda "serpent," hence "black/dark serpent" or "sweet serpent." | female. MELINDA
1: Modern English compound name composed of Shae "hawk-like" and Lyn "lake." | female. SHAYLYN
1: Modern English compound name composed of Shae "hawk-like" and Lynn "lake." | female. SHAELYN
1: Modern English creation, possibly a blend of Deon "god, Zeus" and Dante "steadfast." | male. DEONTE
1: Modern English creation that is an elaborated form either of Lisha (a short form of longer names ending with -isha) or Alisha ("noble sort"). | female. KALISHA
1: Modern English form of Anglo-Saxon Æthelthryth, meaning "noble strength." | female. AUDREY
1: Modern English form of Anglo-Saxon Eadgyð, meaning "rich battle." | female. EDITH
1: Modern English name created by spelling "heaven" backwards. | female. NEVAEH
1: Modern English name created by spelling Kevin ("little comely one") backwards. | male. NIVEK
1: Modern English name derived from a Parisian fashion house founded by Coco Chanel whose surname meant "pipe." | female. CHANEL
1: Modern English name derived from Latin lyrica "lyric poem," from French lyrique "short poem expressing personal emotion," from Latin lyricus "of or for the lyre," from Greek lyrikos "singing to the lyre." | female. LYRICA
1: Modern English name derived from the name of a silky nylon fiber developed by DuPont in 1968. | female. QIANA
1: Modern English name perhaps based on the vocabulary word air, hence "ethereal." | female. AIRLA
1: Modern English name, possibly a blend of Spanish Lola "sorrows" and Alicia "noble sort." | female. LOLICIA
1: Modern English name, probably a blend of Cindy "woman from Kynthos" and Sandra "defender of mankind." | female. CINDRA
1: Modern English name which is possibly a blend of Tammy "palm tree" and Pamela "all honey." | female. TAMELA
1: Modern English unisex name derived from the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. Compare with another form of Paris. | male. PARIS
1: Modern English unisex name derived from the French capital city, Paris, from the name of a Gaulish tribe called the Parisii, who once lived on the site. Compare with strictly masculine Paris. | female. PARIS
1: Modern form of medieval French Helewise, meaning "hale-wide; very healthy and sound." | female. HÉLOÏSE
1: Modern Welsh name composed of the words glân "clean, pure, holy" and da "good," hence "pure good." | female. GLENDA
1: Modern Welsh name derived from the word glân, meaning "holy, pure." | female. GLENYS
1: Name of a plant of the mint family once popular in herbal medicine, occasionally used as a forename. It is also called woundwort and lousewort. It is said to possibly derive from Celtic bew "head" and ton "good," because it is good for complaints of the head. Pliny said that the original name of this plant was Vettonica, from the Vettones, an ancient Iberian tribe. | female. BETONY
1: Native American Dakota name meaning "firstborn daughter." | female. WINONA
1: Norman English form of Anglo-Saxon Hroðgar, meaning "famous spear." | male. ROGER
1: Norman French form of Old High German Adalheid, meaning "noble sort." In use by the English and Scottish. Compare with another form of Alison. | female. ALISON
